id,song_name,danceability,energy,liveness,kmeans
0qTTWAzCK5xjgUrjcxykqU,Smack a Goober Vol.2,0.703,0.775,0.364,1
495T3rrTtGF4FRHHvldWjh,METHHEAD FREESTYLE,0.7240000000000001,0.8909999999999999,0.273,1
6XSOrhGJprcGmgPS8Zcm97,7.62x39mm,0.613,0.909,0.8590000000000001,1
6BDu7lsmjaWlzZXRtDThra,Adult Swim (Feat. Original God & Yung Bitch),0.348,0.925,0.372,1
07BCzMdqX3u9HluaSQRcL2,Welcome to My Heart,0.639,0.932,0.1119999999999999,1
00bEP3V5Ova0ihFnLUFbK2,Bryan Fury,0.583,0.915,0.348,1
7zShdWNBUXsUoU3akjRVHW,The Mishima Bloodline,0.655,0.948,0.0835,1
3rDmEFLc9lxFggzTBIF3vg,Death Wish,0.763,0.8859999999999999,0.332,1
0fyvuVe5Yw800bpAXTErET,No Mercy,0.59,0.922,0.381,1
1vuZVJZ2lENkoV2B0paFrD,Hate Me,0.652,0.8640000000000001,0.32,1
0Oe06Yq0wa0pe2GnOzSvxa,D.F.W.N.B,0.467,0.889,0.26,1
60Y7Xnr9zGiwdU6cJhgTo0,BORN OUT THE PIT,0.413,0.838,0.395,1
4Tg3WFUjMqJB1GqfWIsrRy,Reaper Life,0.647,0.8759999999999999,0.118,1
2aPNTB8z6H2ueYtkFRhsRZ,INeed$,0.364,0.826,0.0914,1
5Pll84fnSheofah0CIO2jN,Fuk U,0.792,0.851,0.356,1
2TfoabXa0CbEwcqpxOn9z3,Sad Nibba Hours,0.745,0.664,0.851,1
1tlrTC3x7viJ1U30oOFGdF,Better Off (Dying),0.521,0.7659999999999999,0.155,1
3F42FHouOY59SnSsyD2TAX,U Said,0.265,0.8270000000000001,0.1169999999999999,1
7Hr2XoaGpIMKbNXCZDZ3le,Awful Things,0.368,0.7959999999999999,0.0694,1
6sCEx08GanNTBCqsazxJjD,I Will One Day Learn To Fly Into The Stars,0.6890000000000001,0.768,0.276,1
6Y4CI6as0a7QjXaPiqU4Jt,"Fetti (feat. Da$H, Maxo Kream)",0.74,0.55,0.887,1
2bbQGScZDUqEy786LwjDzu,Zika!,0.713,0.909,0.0729,1
1tzCOK6HzBdhnQilGfG0U8,RECREATE,0.654,0.895,0.152,1
59QIV9Zl0kn239iwBYr53I,Nightmare From The Northside,0.61,0.745,0.38,1
3dRAIP6sWH2nIEvAzhPrx9,El Guerro,0.809,0.816,0.381,1
6IaQbSPciJ5iOTD1JNd3DG,Chariot Of Fire,0.469,0.7170000000000001,0.128,1
5sCTiqZZaV4Krw2UBfHg5F,Body Drop,0.521,0.976,0.319,1
3jPFTYD6iVB6BZEw0A8UZi,I Am Your God,0.5920000000000001,0.79,0.286,1
44g5nauCdQyFmcR4S0FRFj,Cool Guy Syndrome,0.735,0.953,0.125,1
2EJp83hBMYVWGt16Ak0gBq,MASS EXTINCTION,0.606,0.879,0.178,1
2X2tfg4uv39KM3dJEAnFXg,Forget About Me,0.575,0.909,0.272,1
3IPq1uP8b2sQkMAxcGEaah,STAIN (feat. Smokepurpp & Ski Mask The Slump God),0.7070000000000001,0.853,0.765,1
0iTiQO0ne1nnDOULcNNuKr,A CHANGE OF WEATHER,0.638,0.684,0.37,1
2t7D3y0jvYjR8IP9Bosyew,GO (feat. Juice WRLD),0.544,0.7440000000000001,0.336,1
1goff8pL82qkQDF89YrnRT,Bella latina,0.575,0.481,0.6679999999999999,1
5GzDv3BcvqhqcHPACBQc6h,Rebel,0.563,0.619,0.6759999999999999,1
3JszYnp2kuj6bKXCK3bvES,Dogshit,0.653,0.92,0.191,1
0djiZxhPNdjtNgTbDCKAXG,Enemies,0.474,0.928,0.342,1
0VvjVlceUyNxzxoXSClamg,Smackdown (feat. TOKYO'S REVENGE),0.8140000000000001,0.8190000000000001,0.573,1
